1,-324.116+14.0181j,-324.116-14.0181j,230.590
2,-0.756351+2.10358j,-0.756351-2.10358j,-1.025290
3,-3.03977+0.7625j,-3.03977-0.7625j,1.079540
4,-3.03799+0.767439j,-3.03799-0.767439j,1.05590
5,-3.05635+0.968223j,-3.05635-0.968223j,1.077580
6,-3.03832+0.419238j,-3.03832-0.419238j,1.076650
7,-11.7368+6.23368j,-11.7368-6.23368j,-4.38460
8,-3.26966+0.24418j,-3.26966-0.24418j,1.717570
9,-3.01428+0.188092j,-3.01428-0.188092j,1.021410
10,-3.04006+0.123056j,-3.04006-0.123056j,1.079990
11,-3.03809+0.0898905j,-3.03809-0.0898905j,1.076430
12,-3.03832+0.0739892j,-3.03832-0.0739892j,1.076640
13,-3.03832+0.0556037j,-3.03832-0.0556037j,1.076640
14,-3.03835+0.0363433j,-3.03835-0.0363433j,1.076610
15,-3.03831+0.0296524j,-3.03831-0.0296524j,1.076650
16,-3.03832+0.0237385j,-3.03832-0.0237385j,1.076640
17,-3.03832+0.0165493j,-3.03832-0.0165493j,1.076650
18,-3.03831+0.0188475j,-3.03831-0.0188475j,1.076660
19,-3.03832+0.00979555j,-3.03832-0.00979555j,1.076640
20,-3.03832+0.00850468j,-3.03832-0.00850468j,1.076640
21,-17.2361+2.83796j,-17.2361-2.83796j,-4.386440
22,-5.78478+2.62784j,-5.78478-2.62784j,0.5230080
23,4.27495+0.777616j,4.27495-0.777616j,-4.960770
24,-14.02420,7.947530,1.076640
25,-14.02420,7.947540,1.076640
26,-14.02420,7.947540,1.076640
27,-14.02420,7.947530,1.076640
28,-14.02420,7.947540,1.076640
29,-14.02420,7.947530,1.076640
30,-14.02420,7.947530,1.076640
31,-14.02420,7.947530,1.076640
32,-14.02420,7.947530,1.076640
33,-14.02420,7.947530,1.076640
34,-14.02420,7.947530,1.076640
35,-9.66614+16.444j,-9.66614-16.444j,-3.790950
36,-17.7689+59.9445j,-17.7689-59.9445j,-24.06190
37,0.115833+8.51815j,0.115833-8.51815j,0.1847330
38,-1.54495+49.507j,-1.54495-49.507j,1.94220
39,-14.02420,7.947530,1.076640
40,-14.02420,7.947530,1.076640
41,-14.02420,7.947530,1.076640
42,-14.02420,7.947530,1.076640
43,-14.02420,7.947530,1.076640
44,-6.86037+18.0573j,-6.86037-18.0573j,6.854190
45,-14.02420,7.947530,1.076640
46,-14.02420,7.947530,1.076640
47,-14.02420,7.947530,1.076640
48,-14.02420,7.947530,1.076640
49,-14.02420,7.947530,1.076640
50,-14.02420,7.947530,1.076640
51,-14.02420,7.947530,1.076640
52,-14.02420,7.947530,1.076640
53,-14.02420,7.947530,1.076640
54,-14.02420,7.947530,1.076640
55,-14.02420,7.947530,1.076640
56,-14.02420,7.947530,1.076640
57,-14.02420,7.947530,1.076640
58,-14.02420,7.947530,1.076640
59,-14.02420,7.947530,1.076640
60,-14.02420,7.947530,1.076640
61,-14.02420,7.947530,1.076640
62,-14.02420,7.947530,1.076640
63,-14.02420,7.947530,1.076640
64,-14.02420,7.947530,1.076640
65,-14.02420,7.947530,1.076640
66,-14.02420,7.947530,1.076640
67,-14.02420,7.947530,1.076640
68,-14.02420,7.947530,1.076640
69,-14.02420,7.947530,1.076640
70,-14.02420,7.947530,1.076640
71,-14.02420,7.947530,1.076640
72,-14.02420,7.947530,1.076640
73,-14.02420,7.947530,1.076640
74,-14.02420,7.947530,1.076640
75,-14.02420,7.947530,1.076640
76,-14.02420,7.947530,1.076640
77,-14.02420,7.947530,1.076640
78,-14.02420,7.947530,1.076640
79,-14.02420,7.947530,1.076640
80,-14.02420,7.947530,1.076640
81,-14.02420,7.947530,1.076640
82,46.5609+32.4704j,46.5609-32.4704j,-33.45840
83,-14.02420,7.947530,1.076640
84,-14.02420,7.947530,1.076640
85,-14.02420,7.947530,1.076640
86,-14.02420,7.947530,1.076640
87,-14.02420,7.947530,1.076640
88,-14.02420,7.947530,1.076640
89,51.9601+10.7804j,51.9601-10.7804j,-45.78110
90,0.196546+54.2686j,0.196546-54.2686j,-0.1255050
91,50.7985+22.0497j,50.7985-22.0497j,-44.1850
92,50.1354+25.7032j,50.1354-25.7032j,-41.36090
93,-14.02420,7.947530,1.076640
94,-14.02420,7.947530,1.076640
95,-14.02420,7.947530,1.076640
96,-14.02420,7.947530,1.076640
97,-14.02420,7.947530,1.076640
98,-14.02420,7.947530,1.076640
99,-14.02420,7.947530,1.076640
100,-14.02420,7.947530,1.076640
10,-3.03832+0.130861j,-3.03832-0.130861j,1.076640
20,-3.03832+0.0076229j,-3.03832-0.0076229j,1.076640
30,-14.02420,7.947530,1.076640
40,-14.02420,7.947530,1.076640
50,-0.056816+11.0983j,-0.056816-11.0983j,8.275710
60,-0.420807+12.5959j,-0.420807-12.5959j,1.044910
70,0.529184+12.8248j,0.529184-12.8248j,0.9694040
80,0.0659844+78.1576j,0.0659844-78.1576j,1.82660
90,-14.02420,7.947530,1.076640
100,-14.02420,7.947530,1.076640
110,-14.02420,7.947530,1.076640
120,-14.02420,7.947530,1.076640
130,42.9036+26.9008j,42.9036-26.9008j,-16.31660
140,-0.870657+0.216179j,-0.870657-0.216179j,-3.203060
150,-3.37758+0.0619602j,-3.37758-0.0619602j,1.762970
160,-3.01511+0.00708815j,-3.01511-0.00708815j,1.029930
